C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res4_w2_tunable_l90.son DE_EMBEDDED Lk=0.0 l=90.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res4_w2_tunable_l90
11.174,-0.158012
11.175,-0.158054
11.176,-0.158096
11.177,-0.158137
11.178,-0.158179
11.179,-0.158221
11.18,-0.158263
11.181,-0.158304
11.182,-0.158346
11.183,-0.158388
11.184,-0.15843
11.185,-0.158472
11.186,-0.158513
11.187,-0.158555
11.188,-0.158597
11.189,-0.158639
11.19,-0.158681
11.191,-0.158723
11.192,-0.158764
11.193,-0.158806
11.194,-0.158848
11.195,-0.15889
11.196,-0.158932
11.197,-0.158974
11.198,-0.159015
11.199,-0.159057
11.2,-0.159099
11.201,-0.159141
11.202,-0.159183
11.203,-0.159225
11.204,-0.159267
11.205,-0.159308
11.206,-0.15935
11.207,-0.159392
11.208,-0.159434
11.209,-0.159476
11.21,-0.159518
11.211,-0.15956
11.212,-0.159602
11.213,-0.159643
11.214,-0.159685
11.215,-0.159727
11.216,-0.159769
11.217,-0.159811
11.218,-0.159853
11.219,-0.159895
11.22,-0.159937
11.221,-0.159979
11.222,-0.160021
11.223,-0.160063
11.224,-0.160104
11.225,-0.160146
11.226,-0.160188
11.227,-0.16023
11.228,-0.160272
11.229,-0.160314
11.23,-0.160356
11.231,-0.160398
11.232,-0.16044
11.233,-0.160482
11.234,-0.160524
11.235,-0.160566
11.236,-0.160608
11.237,-0.16065
11.238,-0.160692
11.239,-0.160734
11.24,-0.160776
11.241,-0.160818
11.242,-0.16086
11.243,-0.160902
11.244,-0.160943
11.245,-0.160985
11.246,-0.161027
11.247,-0.161069
11.248,-0.161111
11.249,-0.161153
11.25,-0.161195
11.251,-0.161237
11.252,-0.161279
11.253,-0.161321
11.254,-0.161363
11.255,-0.161405
11.256,-0.161447
11.257,-0.161489
11.258,-0.161531
11.259,-0.161573
11.26,-0.161615
11.261,-0.161657
11.262,-0.161699
11.263,-0.161741
11.264,-0.161783
11.265,-0.161825
11.266,-0.161867
11.267,-0.161909
11.268,-0.161951
11.269,-0.161993
11.27,-0.162035
11.271,-0.162077
11.272,-0.162119
11.273,-0.162161
11.274,-0.162203
11.275,-0.162245
11.276,-0.162287
11.277,-0.162329
11.278,-0.162372
11.279,-0.162414
11.28,-0.162456
11.281,-0.162498
11.282,-0.16254
11.283,-0.162582
11.284,-0.162624
11.285,-0.162666
11.286,-0.162708
11.287,-0.16275
11.288,-0.162792
11.289,-0.162834
11.29,-0.162876
11.291,-0.162918
11.292,-0.16296
11.293,-0.163002
11.294,-0.163044
11.295,-0.163086
11.296,-0.163128
11.297,-0.16317
